id,type,UniprotID,Entrez_ID
CAMK2G,Gene,Q13555,Q13555
CXCL5,Gene,P42830,P42830
OAS1,Gene,P00973,P00973
PRKCD,Gene,Q05655,Q05655
RGS17,Gene,Q9UGC6,Q9UGC6
GNRHR,Gene,P30968,P30968
PTK2,Gene,,
TAS2R14,Gene,Q9NYV8,Q9NYV8
TRIM25,Gene,Q14258,Q14258
CCL1,Gene,P22362,P22362
FPR2,Gene,P25090,P25090
PRKDC,Gene,,
ADCY3,Gene,O60266,O60266
NCAM1,Gene,P13591,P13591
DRD2,Gene,,
FFAR3,Gene,O14843,O14843
TAS2R38,Gene,P59533,P59533
DGKQ,Gene,P52824,P52824
C5AR1,Gene,P21730,P21730
MAOA,Gene,,
GABBR2,Gene,O75899,O75899
LTB4R2,Gene,Q9NPC1,Q9NPC1
GNAI1,Gene,P63096,P63096
MAPK8,Gene,,
HLA-E,Gene,P13747,P13747
CNR2,Gene,P34972,P34972
PLCB3,Gene,Q01970,Q01970
PCP2,Gene,Q8IVA1,Q8IVA1
HLA-DQB1,Gene,P01920,P01920
NTS,Gene,P30990,P30990
PPP3CC,Gene,P48454,P48454
KALRN,Gene,O60229,O60229
GNG8,Gene,Q9UK08,Q9UK08
LDHA,Gene,,
CCL23,Gene,P55773-2,P55773-2
PRKCE,Gene,Q02156,Q02156
RXFP3,Gene,Q9NSD7,Q9NSD7
PDE4C,Gene,Q08493,Q08493
TAS2R43,Gene,P59537,P59537
HRAS,Gene,P01112,P01112
TRIO,Gene,O75962,O75962
PDE4A,Gene,P27815,P27815
IRF2,Gene,P14316,P14316
PPP2R1A,Gene,P30153,P30153
ALK,Gene,,
HLA-DQA2,Gene,P01906,P01906
TRIM22,Gene,Q8IYM9,Q8IYM9
CYSLTR1,Gene,Q9Y271,Q9Y271
CCR10,Gene,P46092,P46092
OAS3,Gene,Q9Y6K5,Q9Y6K5
DGKE,Gene,P52429,P52429
TAS2R3,Gene,Q9NYW6,Q9NYW6
DRD3,Gene,P35462,P35462
TAS2R41,Gene,P59536,P59536
TAS2R30,Gene,P59541,P59541
CDK5,Gene,Q00535,Q00535
AURKA,Gene,,
HBEGF,Gene,Q99075,Q99075
GALR3,Gene,O60755,O60755
GNRH2,Gene,O43555,O43555
TACR2,Gene,P21452,P21452
PLAU,Gene,,
SSTR2,Gene,P30874,P30874
TAS2R10,Gene,Q9NYW0,Q9NYW0
OXGR1,Gene,Q96P68,Q96P68
GNAL,Gene,P38405,P38405
RGS7,Gene,P49802,P49802
TRH,Gene,P20396,P20396
SSTR5,Gene,P35346,P35346
TAS2R46,Gene,P59540,P59540
IRF8,Gene,Q02556,Q02556
GNA11,Gene,P29992,P29992
NPY1R,Gene,P25929,P25929
NPBWR2,Gene,P48146,P48146
CXCR2,Gene,P25025,P25025
MGLL,Gene,Q99685,Q99685
GPRC6A,Gene,Q5T6X5,Q5T6X5
HCAR2,Gene,Q8TDS4,Q8TDS4
GBP5,Gene,Q96PP8,Q96PP8
FLT3,Gene,,
IRF9,Gene,Q00978,Q00978
XCR1,Gene,P46094,P46094
ABHD12,Gene,Q8N2K0,Q8N2K0
TAS2R39,Gene,P59534,P59534
HTR1D,Gene,P28221,P28221
TAS2R16,Gene,Q9NYV7,Q9NYV7
GNB2,Gene,P62879,P62879
TAS2R13,Gene,Q9NYV9,Q9NYV9
HSP90AA1,Gene,,
SOS1,Gene,Q07889,Q07889
MAPK3,Gene,P27361,P27361
HLA-C,Gene,P10321,P10321
PTGDR2,Gene,Q9Y5Y4,Q9Y5Y4
NRAS,Gene,P01111,P01111
AVPR1B,Gene,P47901,P47901
CXCL16,Gene,Q9H2A7,Q9H2A7
PRKCA,Gene,P17252,P17252
GRP,Gene,P07492,P07492
CHRM1,Gene,P11229,P11229
CCKBR,Gene,P32239,P32239
OPN1SW,Gene,P03999,P03999
RGS6,Gene,P49758,P49758
RGS16,Gene,O15492,O15492
CCL13,Gene,Q99616,Q99616
GHRL,Gene,Q9UBU3-1,Q9UBU3-1
PTPN6,Gene,P29350,P29350
TAS2R45,Gene,P59539,P59539
SOCS3,Gene,O14543,O14543
