id,type,UniprotID,Entrez_ID
ZDHHC7,Gene,Q9NXF8,Q9NXF8
GNG12,Gene,Q9UBI6,Q9UBI6
OPRD1,Gene,P41143,P41143
CREBBP,Gene,Q92793,Q92793
CARM1,Gene,Q86X55,Q86X55
ESR-MEDIATED SIGNALING,pathway,,
GNG5,Gene,P63218,P63218
S1PR5,Gene,Q9H228,Q9H228
CYP2C19,Gene,,
HCAR3,Gene,P49019,P49019
DRD4,Gene,P21917,P21917
ITPR2,Gene,Q14571,Q14571
H4C1,Gene,P62805,P62805
CCK,Gene,P06307,P06307
RGS2,Gene,P41220,P41220
SOS1,Gene,Q07889,Q07889
HRAS,Gene,P01112,P01112
CXCL2,Gene,P19875,P19875
EDN3,Gene,P14138,P14138
GCG,Gene,P01275,P01275
PTGER3,Gene,P43115,P43115
MCHR1,Gene,Q99705,Q99705
SSTR4,Gene,P31391,P31391
LCK,Gene,,
DAGLB,Gene,Q8NCG7,Q8NCG7
CYP19A1,Gene,,
OPN1MW,Gene,P04001,P04001
TRIM45,Gene,Q9H8W5,Q9H8W5
S1PR4,Gene,O95977,O95977
OAS3,Gene,Q9Y6K5,Q9Y6K5
TRIM17,Gene,Q9Y577,Q9Y577
TFF1,Gene,P04155,P04155
P2RY4,Gene,P51582,P51582
TAS2R38,Gene,P59533,P59533
PDPK1,Gene,O15530,O15530
CCR1,Gene,P32246,P32246
PPP3R1,Gene,P63098,P63098
CASR,Gene,P41180,P41180
F2R,Gene,P25116,P25116
RAD21,Gene,O60216,O60216
GREB1,Gene,Q4ZG55,Q4ZG55
TAS2R16,Gene,Q9NYV7,Q9NYV7
H2BC9,Gene,Q93079,Q93079
KISS1R,Gene,Q969F8,Q969F8
TFF3,Gene,Q07654,Q07654
DGKH,Gene,Q86XP1,Q86XP1
CXCL12,Gene,P48061,P48061
PPP1CA,Gene,P62136,P62136
HTR1E,Gene,P28566,P28566
PIK3CD,Gene,,
NCOA3,Gene,Q9Y6Q9,Q9Y6Q9
H2AC18,Gene,Q6FI13,Q6FI13
ADRA2B,Gene,P18089,P18089
KPNA2,Gene,P52292,P52292
CDK2,Gene,,
MAPK7,Gene,Q13164,Q13164
LPAR4,Gene,Q99677,Q99677
OPN3,Gene,Q9H1Y3,Q9H1Y3
MT2A,Gene,P02795,P02795
ZNF217,Gene,O75362,O75362
PDE2A,Gene,,
PROKR1,Gene,Q8TCW9,Q8TCW9
ITPR1,Gene,Q14643,Q14643
