MoleculeType	Identifier	MoleculeName	
Proteins	P13498	UniProt:P13498 CYBA	
Proteins	P04839	UniProt:P04839 CYBB	
Proteins	Q15080	UniProt:Q15080 NCF4	
Proteins	P14598	UniProt:P14598 NCF1	
Proteins	P19878	UniProt:P19878 NCF2	
Proteins	P30530	UniProt:P30530 AXL	
Proteins	P52735	UniProt:P52735 VAV2	
Proteins	P15498	UniProt:P15498 VAV1	
Proteins	Q9UKW4	UniProt:Q9UKW4 VAV3	
Proteins	Q13464	UniProt:Q13464 ROCK1	
Proteins	O75116	UniProt:O75116 ROCK2	
Proteins	P63261	UniProt:P63261 ACTG1	
Proteins	P60709	UniProt:P60709 ACTB	
Proteins	P04792	UniProt:P04792 HSPB1	
Proteins	P31751	UniProt:P31751 AKT2	
Proteins	Q9Y243	UniProt:Q9Y243 AKT3	
Proteins	P31749	UniProt:P31749 AKT1	
Proteins	O15530	UniProt:O15530 PDPK1	
Proteins	P29474	UniProt:P29474 NOS3	
Proteins	Q03135	UniProt:Q03135 CAV1	
Proteins	P0DP23	UniProt:P0DP23 CALM1	
Proteins	O75914	UniProt:O75914 PAK3	
Proteins	Q13153	UniProt:Q13153 PAK1	
Proteins	Q9BPZ7	UniProt:Q9BPZ7 MAPKAP1	
Proteins	Q6R327	UniProt:Q6R327 RICTOR	
Proteins	P42345	UniProt:P42345 MTOR	
Proteins	P85299	UniProt:P85299 PRR5	
Proteins	Q9BVC4	UniProt:Q9BVC4 MLST8	
Proteins	Q96RU7	UniProt:Q96RU7 TRIB3	
Proteins	Q5T1C6	UniProt:Q5T1C6 THEM4	
Proteins	O60716	UniProt:O60716 CTNND1	
Proteins	P35221	UniProt:P35221 CTNNA1	
Proteins	P33151	UniProt:P33151 CDH5	
Proteins	P35222	UniProt:P35222 CTNNB1	
Proteins	P14923	UniProt:P14923 JUP	
Proteins	P0DTC5	UniProt:P0DTC5 M	
Proteins	P0DTC9	UniProt:P0DTC9 N	
Proteins	Q14643	UniProt:Q14643 ITPR1	
Proteins	Q14573	UniProt:Q14573 ITPR3	
