source,target
CYTOKINE SIGNALING,LTBR
CYTOKINE SIGNALING,LTA
CYTOKINE SIGNALING,LTB
CYTOKINE SIGNALING,TNFSF14
CYTOKINE SIGNALING,CD40
CYTOKINE SIGNALING,CD40LG
CYTOKINE SIGNALING,TNFSF13B
CYTOKINE SIGNALING,TNFRSF13C
CYTOKINE SIGNALING,TNFRSF12A
CYTOKINE SIGNALING,TNFSF12
CYTOKINE SIGNALING,RELB
CYTOKINE SIGNALING,UBE2M
CYTOKINE SIGNALING,UBA3
CYTOKINE SIGNALING,EDA
CYTOKINE SIGNALING,EDAR
CYTOKINE SIGNALING,TNFSF15
CYTOKINE SIGNALING,TNFRSF25
CYTOKINE SIGNALING,EDA2R
CYTOKINE SIGNALING,TNFRSF13B
CYTOKINE SIGNALING,TNFRSF17
CYTOKINE SIGNALING,TNFSF13
CYTOKINE SIGNALING,TNFRSF9
CYTOKINE SIGNALING,TNFSF9
CYTOKINE SIGNALING,TNFRSF4
CYTOKINE SIGNALING,TNFSF4
CYTOKINE SIGNALING,CD70
CYTOKINE SIGNALING,CD27
CYTOKINE SIGNALING,TNFSF6
CYTOKINE SIGNALING,TNFRSF6B
CYTOKINE SIGNALING,TNFRSF8
CYTOKINE SIGNALING,TNFSF8
CYTOKINE SIGNALING,TNFRSF11B
CYTOKINE SIGNALING,TNFRSF18
CYTOKINE SIGNALING,TNFSF18
CYTOKINE SIGNALING,EDARADD
CYTOKINE SIGNALING,TNFRSF14
CYTOKINE SIGNALING,GRB10
CYTOKINE SIGNALING,FLT3
CYTOKINE SIGNALING,FLT3LG
CYTOKINE SIGNALING,AKT2
CYTOKINE SIGNALING,AKT3
CYTOKINE SIGNALING,CDKN1B
CYTOKINE SIGNALING,BCL2L11
CYTOKINE SIGNALING,NRAS
CYTOKINE SIGNALING,HRAS
CYTOKINE SIGNALING,SH2B3
CYTOKINE SIGNALING,SLA
CYTOKINE SIGNALING,SLA2
CYTOKINE SIGNALING,SOCS6
CYTOKINE SIGNALING,PTPRJ
CYTOKINE SIGNALING,ABL2
CYTOKINE SIGNALING,CSK
CYTOKINE SIGNALING,GH1
CYTOKINE SIGNALING,GH2
CYTOKINE SIGNALING,GHR
CYTOKINE SIGNALING,PTPN1
CYTOKINE SIGNALING,ADAM17
CYTOKINE SIGNALING,PRL
CYTOKINE SIGNALING,CSH1
CYTOKINE SIGNALING,PRLR
CYTOKINE SIGNALING,SH2B1
CYTOKINE SIGNALING,CUL5
CYTOKINE SIGNALING,ELOB
CYTOKINE SIGNALING,ELOC
CYTOKINE SIGNALING,RNF7
CYTOKINE SIGNALING,UBE2D2
CYTOKINE SIGNALING,UBE2D1
CYTOKINE SIGNALING,UBE2D3
CYTOKINE SIGNALING,CAMK2B
CYTOKINE SIGNALING,CAMK2A
CYTOKINE SIGNALING,CAMK2D
CYTOKINE SIGNALING,CAMK2G
CYTOKINE SIGNALING,PRKCD
CYTOKINE SIGNALING,IFNGR1
CYTOKINE SIGNALING,IFNGR2
CYTOKINE SIGNALING,YBX1
CYTOKINE SIGNALING,SUMO1
CYTOKINE SIGNALING,PIAS1
CYTOKINE SIGNALING,GBP6
CYTOKINE SIGNALING,GBP5
CYTOKINE SIGNALING,GBP4
CYTOKINE SIGNALING,GBP7
CYTOKINE SIGNALING,GBP3
CYTOKINE SIGNALING,GBP2
CYTOKINE SIGNALING,GBP1
CYTOKINE SIGNALING,IRF9
CYTOKINE SIGNALING,IRF5
CYTOKINE SIGNALING,IRF1
CYTOKINE SIGNALING,IRF3
CYTOKINE SIGNALING,IRF6
CYTOKINE SIGNALING,IRF8
CYTOKINE SIGNALING,IRF2
CYTOKINE SIGNALING,IRF7
CYTOKINE SIGNALING,FCGR1A
CYTOKINE SIGNALING,FCGR1BP
CYTOKINE SIGNALING,HLA-A
CYTOKINE SIGNALING,HLA-H
CYTOKINE SIGNALING,HLA-G
CYTOKINE SIGNALING,HLA-F
CYTOKINE SIGNALING,HLA-C
CYTOKINE SIGNALING,HLA-E
CYTOKINE SIGNALING,HLA-B
CYTOKINE SIGNALING,HLA-DPA1
CYTOKINE SIGNALING,HLA-DQA1
CYTOKINE SIGNALING,HLA-DRA
CYTOKINE SIGNALING,HLA-DQA2
CYTOKINE SIGNALING,HLA-DQB2
CYTOKINE SIGNALING,HLA-DPB1
CYTOKINE SIGNALING,HLA-DQB1
CYTOKINE SIGNALING,HLA-DRB5
CYTOKINE SIGNALING,HLA-DRB3
CYTOKINE SIGNALING,HLA-DRB4
CYTOKINE SIGNALING,HLA-DRB1
CYTOKINE SIGNALING,CD44
CYTOKINE SIGNALING,NCAM1
CYTOKINE SIGNALING,TRIM10
CYTOKINE SIGNALING,TRIM29
CYTOKINE SIGNALING,TRIM46
CYTOKINE SIGNALING,TRIM35
CYTOKINE SIGNALING,TRIM48
CYTOKINE SIGNALING,TRIM2
CYTOKINE SIGNALING,TRIM14
CYTOKINE SIGNALING,TRIM45
CYTOKINE SIGNALING,TRIM17
CYTOKINE SIGNALING,TRIM3
CYTOKINE SIGNALING,TRIM6
CYTOKINE SIGNALING,TRIM62
CYTOKINE SIGNALING,TRIM5
CYTOKINE SIGNALING,TRIM25
CYTOKINE SIGNALING,TRIM68
CYTOKINE SIGNALING,TRIM31
CYTOKINE SIGNALING,TRIM38
CYTOKINE SIGNALING,TRIM26
CYTOKINE SIGNALING,PML
CYTOKINE SIGNALING,MID1
CYTOKINE SIGNALING,TRIM22
CYTOKINE SIGNALING,TRIM34
CYTOKINE SIGNALING,TRIM8
CYTOKINE SIGNALING,TRIM21
CYTOKINE SIGNALING,MT2A
CYTOKINE SIGNALING,SP100
CYTOKINE SIGNALING,IFI30
CYTOKINE SIGNALING,B2M
CYTOKINE SIGNALING,CIITA
CYTOKINE SIGNALING,OAS1
CYTOKINE SIGNALING,OASL
CYTOKINE SIGNALING,OAS2
CYTOKINE SIGNALING,OAS3
CYTOKINE SIGNALING,SMAD7
CYTOKINE SIGNALING,RAF1
CYTOKINE SIGNALING,IFNAR2
CYTOKINE SIGNALING,IFNA16
CYTOKINE SIGNALING,IFNA1
CYTOKINE SIGNALING,IFNA21
CYTOKINE SIGNALING,IFNA4
CYTOKINE SIGNALING,IFNA7
CYTOKINE SIGNALING,IFNA8
CYTOKINE SIGNALING,IFNA10
CYTOKINE SIGNALING,IFNA5
CYTOKINE SIGNALING,IFNA2
CYTOKINE SIGNALING,IFNA14
CYTOKINE SIGNALING,IFNA17
CYTOKINE SIGNALING,IFNA6
CYTOKINE SIGNALING,IFNB1
CYTOKINE SIGNALING,IFNAR1
CYTOKINE SIGNALING,KPNA1
CYTOKINE SIGNALING,EIF2AK2
CYTOKINE SIGNALING,ISG20
CYTOKINE SIGNALING,IFIT2
CYTOKINE SIGNALING,IFIT1
CYTOKINE SIGNALING,ADAR
CYTOKINE SIGNALING,IFI27
CYTOKINE SIGNALING,IFIT3
CYTOKINE SIGNALING,IFIT5
CYTOKINE SIGNALING,IFI35
CYTOKINE SIGNALING,ISG15
CYTOKINE SIGNALING,IFITM1
CYTOKINE SIGNALING,EGR1
CYTOKINE SIGNALING,SAMHD1
CYTOKINE SIGNALING,RSAD2
CYTOKINE SIGNALING,BST2
CYTOKINE SIGNALING,IFI6
CYTOKINE SIGNALING,XAF1
CYTOKINE SIGNALING,IFITM2
CYTOKINE SIGNALING,RNASEL
CYTOKINE SIGNALING,IP6K2
CYTOKINE SIGNALING,IFITM3
CYTOKINE SIGNALING,MX2
CYTOKINE SIGNALING,MX1
CYTOKINE SIGNALING,PSMB8
CYTOKINE SIGNALING,KPNB1
CYTOKINE SIGNALING,ABCE1
CYTOKINE SIGNALING,FKBP5
CYTOKINE SIGNALING,IFI44L
CYTOKINE SIGNALING,IFI44
CYTOKINE SIGNALING,RIGI
CYTOKINE SIGNALING,IFIH1
CYTOKINE SIGNALING,UBE2L6
CYTOKINE SIGNALING,ARIH1
CYTOKINE SIGNALING,HERC5
CYTOKINE SIGNALING,UBA7
CYTOKINE SIGNALING,EIF2AK3
CYTOKINE SIGNALING,HSPA5
CYTOKINE SIGNALING,ATF6
CYTOKINE SIGNALING,BECN1
CYTOKINE SIGNALING,PLCG1
CYTOKINE SIGNALING,UBE2E1
CYTOKINE SIGNALING,PPM1B
CYTOKINE SIGNALING,GAG
CYTOKINE SIGNALING,NUP98
CYTOKINE SIGNALING,SEH1L
CYTOKINE SIGNALING,NUP107
CYTOKINE SIGNALING,NUP43
CYTOKINE SIGNALING,NUP160
CYTOKINE SIGNALING,NUP37
CYTOKINE SIGNALING,NUP85
CYTOKINE SIGNALING,NUP133
CYTOKINE SIGNALING,SEC13
CYTOKINE SIGNALING,TPR
CYTOKINE SIGNALING,NUP153
CYTOKINE SIGNALING,NUP88
CYTOKINE SIGNALING,NUP188
CYTOKINE SIGNALING,NUP214
CYTOKINE SIGNALING,NDC1
CYTOKINE SIGNALING,NUP210
CYTOKINE SIGNALING,POM121
CYTOKINE SIGNALING,POM121C
CYTOKINE SIGNALING,NUP35
CYTOKINE SIGNALING,NUP93
CYTOKINE SIGNALING,NUP155
CYTOKINE SIGNALING,NUP205
CYTOKINE SIGNALING,RAE1
CYTOKINE SIGNALING,NUP62
CYTOKINE SIGNALING,NUP58
CYTOKINE SIGNALING,NUP54
CYTOKINE SIGNALING,NUP50
CYTOKINE SIGNALING,AAAS
CYTOKINE SIGNALING,RANBP2
CYTOKINE SIGNALING,NUP42
CYTOKINE SIGNALING,NS
CYTOKINE SIGNALING,KPNA4
CYTOKINE SIGNALING,KPNA3
CYTOKINE SIGNALING,KPNA7
CYTOKINE SIGNALING,KPNA2
CYTOKINE SIGNALING,KPNA5
CYTOKINE SIGNALING,FLNB
CYTOKINE SIGNALING,NEDD4
